NRHP reference number,Name,Locality,Locality,Coordinates,County
82003425,Garrett White House,"Colerain
36°12′44.95″N 76°52′58.11″W",Colerain,36°12′44.95″N 76°52′58.11″W,Bertie
74001370,Green River Plantation,"Columbus
35°17′12″N 82°01′06″W",Columbus,35°17′12″N 82°01′06″W,Polk
71000616,Grimesland Plantation,"Grimesland
35°33′22″N 77°10′02″W",Grimesland,35°33′22″N 77°10′02″W,Pitt
72000960,Hardscrabble,Bahama,Bahama,,Durham
71000588,Hare Plantation House,"Como
36°30′21″N 77°2′22″W",Como,36°30′21″N 77°2′22″W,Hertford
7001504,Harmony Plantation,"Wendell
35°51′54″N 78°26′38″W",Wendell,35°51′54″N 78°26′38″W,Wake
74001341,Hayes Plantation,"Edenton
36.04818°N 76.60222°W",Edenton,36.04818°N 76.60222°W,Chowan
96000186[19],Herbert Akins Plantation,Fuquay-Varina,Fuquay-Varina,,Wake
82003427,Hermitage,"Merry Hill
36°5′12″N 76°44′0″W",Merry Hill,36°5′12″N 76°44′0″W,Bertie
74001373,High Rock Farm,Gibsonville,Gibsonville,,Guilford
72000977,Holly Bend Plantation,Huntersville,Huntersville,,Mecklenburg
70000441,Hope Plantation,"Windsor
36°10′39″N 77°1′9″W",Windsor,36°10′39″N 77°1′9″W,Bertie
88002608,Humphrey–Williams Plantation,"Lumberton
34°42′8″N 79°3′41″W",Lumberton,34°42′8″N 79°3′41″W,Robeson
75001275,Johnson-Neel Plantation,Mooresville,Mooresville,,Iredell
73001376,Crabtree Jones House,"Raleigh
35°49′20″N 78°37′26″W",Raleigh,35°49′20″N 78°37′26″W,Wake
88001264,John P. Lawrence Plantation,Grissom,Grissom,,Granville
16000880,Dr. Calvin Jones House,Wake Forest,Wake Forest,,Wake
72000978,Latta Plantation,Huntersville,Huntersville,,Mecklenburg
75001257,Leigh Farm,Chapel Hill,Chapel Hill,,Durham
Unknown Status,Liberty Hall,"Kenansville
34.9599°N 77.9652°W",Kenansville,34.9599°N 77.9652°W,Duplin
75001269,Locust Grove,Ingleside,Ingleside,,Franklin
72000995,Alexander Long Plantation,"Spencer
35°42′10″N 80°25′13″W",Spencer,35°42′10″N 80°25′13″W,Rowan
76001312,Longwood Plantation,"Milton
36°31′40″N 79°13′10″W",Milton,36°31′40″N 79°13′10″W,Caswell
84000071,Lower Sauratown Plantation,Eden,Eden,,Rockingham
